ID,FDR,p_value,t,B,logFC
11731706_at,0.0256,0.00000153,-1.68E+01,5.29841,-3.68
11753462_a_at,0.0256,0.00000253,-1.55E+01,4.97408,-4.11
11726218_a_at,0.0256,0.00000383,-1.45E+01,4.69309,-4.83
11716514_s_at,0.0256,0.00000442,-1.42E+01,4.59099,-3.35
11742024_a_at,0.0256,0.00000475,-1.40E+01,4.53965,-4.7
11727826_a_at,0.0256,0.00000526,-1.38E+01,4.46647,-3.22
11740298_a_at,0.0256,0.00000561,-1.37E+01,4.41953,-4.12
11722571_at,0.0256,0.00000594,-1.36E+01,4.37767,-4.23
11721512_a_at,0.0256,0.00000628,-1.34E+01,4.33634,-3.19
11737896_s_at,0.0256,0.00000667,-1.33E+01,4.29133,-3.88
11721891_at,0.0256,0.00000699,1.32E+01,4.25628,3.04
11731705_at,0.0256,0.00000829,-1.28E+01,4.12719,-3.83
11726278_at,0.0256,0.0000083,-1.28E+01,4.12606,-3.13
11719561_s_at,0.0256,0.00000867,-1.27E+01,4.09333,-4.79
11757995_s_at,0.0256,0.00000968,-1.25E+01,4.00814,-2.73
11715118_s_at,0.0256,0.00001092,-1.23E+01,3.91419,-4.03
11748318_a_at,0.0256,0.00001227,-1.21E+01,3.82241,-3.34
11715552_a_at,0.0256,0.00001255,-1.20E+01,3.80414,-2.92
11754358_x_at,0.0256,0.0000126,-1.20E+01,3.80084,-3.19
11751505_a_at,0.0256,0.00001282,-1.20E+01,3.78726,-4.26
11749416_a_at,0.0256,0.00001453,-1.17E+01,3.68702,-3.13
11752840_a_at,0.0256,0.00001475,-1.17E+01,3.67457,-3.88
11729305_a_at,0.0256,0.00001525,-1.16E+01,3.64797,-3.16
11744503_x_at,0.0256,0.00001539,-1.16E+01,3.6404,-3.81
11716315_at,0.0256,0.00001658,-1.15E+01,3.58015,-3.13
11736478_a_at,0.0256,0.00001661,-1.15E+01,3.57845,-3.96
11731466_a_at,0.0256,0.00001803,-1.13E+01,3.51133,-4.06
11745173_a_at,0.0256,0.0000182,-1.13E+01,3.50371,-2.89
11717863_a_at,0.0256,0.00001826,-1.13E+01,3.50092,-3.66
11721441_x_at,0.0256,0.00001853,-1.13E+01,3.48897,-4.2
11731993_at,0.0256,0.00001972,-1.12E+01,3.43751,-3.65
11739338_at,0.0256,0.00002139,-1.10E+01,3.36995,-3.24
11735751_a_at,0.0256,0.00002156,-1.10E+01,3.36346,-3.02
11743584_a_at,0.0256,0.00002189,-1.10E+01,3.35066,-2.61
11730096_a_at,0.0256,0.00002281,-1.09E+01,3.31634,-3.98
11753081_a_at,0.0256,0.00002284,-1.09E+01,3.31506,-2.48
11721346_a_at,0.0256,0.00002341,-1.08E+01,3.29449,-2.63
11723394_s_at,0.0256,0.00002351,-1.08E+01,3.29083,-2.68
11731611_a_at,0.0256,0.0000236,-1.08E+01,3.28767,-3.29
11727477_at,0.0256,0.00002566,-1.07E+01,3.21715,-2.6
11758829_s_at,0.0256,0.00002627,-1.06E+01,3.19724,-3.4
11753027_a_at,0.0256,0.00002628,-1.06E+01,3.19688,-3.28
11753503_a_at,0.0256,0.00002706,-1.06E+01,3.17217,-2.87
11735692_a_at,0.0256,0.0000271,-1.06E+01,3.17084,-2.56
11717377_s_at,0.0256,0.00002758,-1.06E+01,3.15592,-4.37
11734758_x_at,0.0256,0.00002781,-1.05E+01,3.14882,-3.19
11728862_at,0.0256,0.00002787,-1.05E+01,3.1471,-2.59
11752845_a_at,0.0256,0.00002836,-1.05E+01,3.13225,-2.59
11715832_s_at,0.0256,0.00002888,-1.05E+01,3.11661,-2.66
11757513_at,0.0256,0.00002906,-1.05E+01,3.11127,-4.96
11732216_s_at,0.0256,0.0000291,-1.05E+01,3.11028,-3.06
