gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
?|100130426,0,0,0,0,0,0
?|100133144,74,56,92,299,87,143
?|100134869,25,57,59,121,56,70
?|10357,194,233,175,276,385,257
?|10431,3374,2562,1928,4559,4892,3502
?|136542,0,0,0,0,0,0
?|155060,625,566,701,3090,814,821
?|26823,4,8,18,35,14,19
?|280660,0,0,0,1,0,0
?|317712,0,0,0,0,0,0
?|340602,0,4,0,0,0,0
?|388795,5,10,7,10,20,19
?|390284,9,3,3,20,8,6
?|391343,0,0,0,0,0,0
?|391714,2,0,0,12,0,0
?|404770,0,0,0,0,0,0
?|441362,1,0,1,2,3,0
?|442388,0,0,0,0,0,2
?|553137,0,0,0,546,5,0
?|57714,3688,3224,2755,2072,3211,4154
?|645851,56,93,111,212,82,163
?|652919,205,132,203,151,161,275
?|653553,629,802,264,5403,1178,175
?|728045,0,0,0,0,0,0
?|728603,0,0,4,0,0,13
?|728788,17,15,43,6,42,348
?|729884,102,68,0,201,5,24
?|8225,3027,3237,1177,4456,4219,2543
?|90288,247,47,164,58,583,642
A1BG|1,95,111,61,490,1856,701
A1CF|29974,0,0,0,1,6,8
A2BP1|54715,2,1,0,2,28,6
A2LD1|87769,572,779,429,583,719,465
A2ML1|144568,258,147,87,371,119,141
A2M|2,195518,180933,133379,60064,69059,20727
A4GALT|53947,2309,2832,999,1409,923,492
A4GNT|51146,86,17,11,25,3,3
AAA1|404744,0,0,8,1,0,0
AAAS|8086,2733,2570,1641,3711,4462,3258
AACSL|729522,0,0,3,30,54,1
AACS|65985,3061,5376,4827,7101,5135,3659
AADACL2|344752,35,86,14,27,1,0
AADACL3|126767,25,6,4,1,5,0
AADACL4|343066,0,0,7,0,1,0
AADAC|13,2638,1584,1475,91,96,16
AADAT|51166,383,258,295,420,125,59
AAGAB|79719,2867,3410,2332,54401,10590,11386
AAK1|22848,4866,5391,7850,4034,6319,6914
AAMP|14,8939,8375,4322,13425,13725,10087
AANAT|15,0,0,0,5,3,1
AARS2|57505,1273,1426,811,2154,2975,2373
AARSD1|80755,2323,1896,1266,2677,3165,3076
AARS|16,14445,11879,7802,16869,10268,6923
AASDHPPT|60496,2540,2875,3066,7006,5569,4219
AASDH|132949,1350,1082,1281,1920,1743,2688
AASS|10157,3100,3475,8644,4646,2114,1201
AATF|26574,4405,4147,2196,5247,5904,5107
AATK|9625,163,168,74,105,125,225
ABAT|18,947,1128,1474,9884,15419,22767
ABCA10|10349,1247,1544,3050,178,319,128
ABCA11P|79963,527,427,658,886,929,953
ABCA12|26154,34,15,1,81,2084,223
ABCA13|154664,120,95,62,333,166,140
ABCA17P|650655,22,29,30,47,155,93
ABCA1|19,14612,31256,24067,2790,5260,1741
ABCA2|20,7601,4543,5001,10244,7921,7213
ABCA3|21,4062,3496,3233,8258,13138,12584
ABCA4|24,48,162,115,140,349,90
ABCA5|23461,4359,3360,4130,1907,792,761
ABCA6|23460,5234,5730,6787,490,963,240
ABCA7|10347,1114,1305,778,2369,2564,2621
ABCA8|10351,24795,20601,25034,986,1577,357
ABCA9|10350,10894,11925,11358,845,1307,363
ABCB10|23456,1663,2100,2034,2698,3097,4174
ABCB11|8647,111,216,347,7,19,13
ABCB1|5243,937,680,626,269,393,126
ABCB4|5244,345,122,130,231,217,119
ABCB5|340273,491,580,624,405,317,219
ABCB6|10058,4177,4860,2385,4008,3069,2118
ABCB7|22,2654,2313,2831,1951,3090,2724
ABCB8|11194,1798,1846,760,5876,6550,2047
ABCB9|23457,514,410,359,2969,898,651
ABCC10|89845,1038,1266,669,3064,1704,1373
ABCC11|85320,31,12,89,334,2538,2792
ABCC12|94160,0,0,0,12,32,53
ABCC13|150000,19,21,24,185,30,25
ABCC1|4363,6363,10104,2577,6491,5458,4386
ABCC2|1244,290,354,223,130,65,84
