prob_id,control_1,control_2,control_3,case_1,case_2,case_3
11715100_at,12.06,11.85,10.92,11.13,9.52,9.1
11715101_s_at,13.19,13.21,12.35,12.16,11.57,10.89
11715102_x_at,12.17,12.26,11.27,11.23,9.92,9.5
11715103_x_at,7.96,7.77,7.55,8.34,9.07,8.5
11715104_s_at,7.03,6.6,6.72,7.86,7.43,7.46
11715105_at,4.11,3.67,3.58,4.29,4.16,3.95
11715106_x_at,6.04,5.83,5.82,6.7,6.25,6.88
11715107_s_at,8.93,9.06,8.07,8.59,8.02,8.16
11715108_x_at,4.2,4.24,4.2,4.8,4.3,4.52
11715109_at,5.26,4.92,5.79,6.37,7.19,6.47
11715110_at,4.55,4.45,4.45,4.79,5.37,5.43
11715111_s_at,8.08,8.32,7.87,8.8,8.57,8.99
11715112_at,2.98,2.79,3.51,4.22,3.44,5
11715113_x_at,7.68,6.17,7,7.21,8.26,7.81
11715114_x_at,7.35,5.81,6.78,6.72,8.25,7.3
11715115_s_at,7.89,6.88,6.44,6.51,5.76,5.5
11715116_s_at,13.43,13.55,13.19,12.99,12.22,12.56
11715117_x_at,12.28,11.59,11.07,10.08,9.47,9.16
11715118_s_at,10.34,10.62,9.7,6.44,6.22,5.91
11715119_s_at,5.24,3.55,3.54,5.07,4.43,5.19
11715120_s_at,4.9,5.54,6.95,5.45,6.29,5.39
11715121_s_at,11.45,11.06,10.8,8.15,8.69,8.84
11715122_at,7.59,6.31,5.81,9.03,7.99,7.86
11715123_s_at,4.85,4.49,4.51,5.51,4.92,5.39
11715124_s_at,7.78,7.77,7.89,8.8,8.58,8.87
11715125_at,5.75,5.76,5.88,5.27,5.97,5.48
11715126_s_at,8.22,8.14,7.71,8.39,8.1,8.67
11715127_s_at,4.82,4.19,4.6,5.97,5.33,5.63
11715128_s_at,6.5,7.41,5.37,7.11,6.84,6.56
11715129_s_at,5.79,6.73,7.62,5.92,5.81,7.55
11715130_s_at,6.96,6.83,6.75,7.67,7.47,7.19
11715131_s_at,5.39,5.18,5.05,6.64,5.82,6.55
11715132_x_at,11,11.52,8.86,5.04,6.08,4.58
11715133_s_at,2.6,2.36,2.45,2.39,2.22,2.63
11715134_s_at,2.36,2.42,2.42,2.93,2.46,2.67
11715135_s_at,8.79,8.58,8.09,7.74,7.97,7.82
11715136_at,4.73,4.16,4.23,6.38,4.65,7.89
11715137_s_at,7.56,7.34,7.42,8.6,8.24,9.28
11715138_s_at,7.73,8.22,7.71,8.7,8.33,8.86
11715139_x_at,3.37,2.68,2.63,3.55,2.85,2.94
11715140_s_at,7.24,7.01,7.03,8.19,7.84,7.82
11715141_s_at,5.63,8.01,5.46,6.76,7.45,6.32
11715142_s_at,6.36,6.14,6.13,7.5,6.95,7.12
11715143_s_at,5.99,5.68,5.77,7.04,6.74,7.46
11715144_s_at,6.84,6.61,6.77,7.25,7.52,7.88
11715145_s_at,5.06,4.98,4.77,5.5,5.35,6.5
11715146_x_at,7.27,7.16,7.15,8.55,8.57,9.23
11715147_at,4.93,4.65,4.65,6,5.34,5.76
11715148_s_at,11.28,11.74,10.07,9.77,9.99,7.04
11715149_x_at,11.89,12.17,9.7,9.69,10.5,6.64
11715150_s_at,8.17,8.04,8.06,10.13,9.01,9.51
11715151_x_at,5.02,4.37,4.59,5.99,5.28,6.15
11715152_at,4.03,3.22,3.57,3.64,3.45,2.98
11715153_s_at,3.24,2.81,2.59,3.43,3.35,3.76
11715154_s_at,2.34,2.39,2.32,2.89,2.64,2.34
11715155_s_at,8.11,7.74,7.66,8.78,8.44,8.38
11715156_s_at,6.83,5.96,6.32,7.01,7.69,8.57
11715157_s_at,4.01,3.88,3.76,4.44,4.74,4.77
11715158_s_at,3.57,3.31,3.36,4.4,4.43,5.36
11715159_at,9.75,9.87,8.91,8.73,7.95,8.95
11715160_x_at,3.32,3.14,2.9,3.2,3.42,4.25
11715161_s_at,6.25,5.98,6.9,6.6,6.66,10.34
11715162_s_at,11.8,11.17,10.13,9.72,8.98,9.31
11715163_s_at,3.09,2.86,2.84,3.66,3.45,3.19
11715164_s_at,6.56,6.54,6.24,7.42,7.08,7.75
11715165_at,3.99,4.32,3.18,4.82,3.67,4.55
11715166_at,4.06,4.25,3.98,5.03,4.23,4.69
11715167_at,5.09,4.88,4.72,6.17,5.59,6.28
11715168_s_at,8.04,8.08,8.07,9.73,9.3,9.66
11715169_at,7.15,7.96,7.11,7.58,8,8.17
11715170_x_at,4.68,4.24,4.16,5.86,4.01,5.12
11715171_at,7.61,6.14,5.64,6.51,5.96,5.83
11715172_at,6.3,4.23,2.82,4.21,4.82,4.5
11715173_s_at,7.31,7.47,7.42,8.29,8.96,8.64
11715174_s_at,7.03,6.84,6.97,8.17,7.8,8.13
11715175_x_at,7.83,7.76,7.63,8.78,8.7,9
11715176_at,3.71,5.29,3.45,4.3,5.06,4.23
11715177_s_at,5.1,6.45,3.24,4.17,5.36,4.57
11715178_s_at,5.82,5.88,6.36,6.37,6.68,6.99
11715179_s_at,5.65,5.12,5.11,6.31,5.74,5.44
11715180_s_at,3,2.86,2.96,5.24,3.38,2.97
11715181_x_at,7.01,6.83,6.85,8.12,8.12,8.15
11715182_x_at,7.56,6.2,6.96,7.31,8.5,7.95
11715183_s_at,4.52,4.89,4.28,5.05,4.94,6.36
11715184_x_at,12.5,12.32,12.15,12.62,12.25,12.72
11715185_x_at,7.03,7.01,7.16,7.78,8.05,8.74
11715186_x_at,5.54,5.49,5.65,6.66,6.35,7.34
11715187_x_at,5.55,5.15,5.31,5.67,5.73,6.32
11715188_at,3.1,3,2.92,3.82,3.45,3.46
11715189_s_at,11.14,11.49,11.29,9.4,9.12,8.96
11715190_s_at,4.31,4.89,3.22,4.8,4.41,4.29
11715191_s_at,4.21,5.3,4.24,4.84,4.96,4.92
11715192_s_at,4.85,4.98,3.92,5.11,4.7,5.01
11715193_s_at,8.33,8.28,8.28,9.36,8.99,8.96
11715194_s_at,7.08,6.89,7.03,7.96,7.67,7.9
11715195_at,3.36,2.8,2.62,3.72,2.73,2.9
11715196_s_at,5.44,4.85,5.21,6.52,5.99,6.56
11715197_s_at,3.54,3.23,5.76,4.39,3.61,3.44
11715198_s_at,8.11,7.66,7.8,9.21,9.21,9.54
11715199_s_at,8.23,7.86,8.11,9.23,9.33,9.51
11715200_s_at,8.03,7.68,7.86,9.07,9.02,9.51
11715201_s_at,8.04,7.8,7.89,9.16,9.06,9.57
11715202_s_at,4.4,5.06,5.46,5.76,5.2,8.42
11715203_s_at,4.05,4.06,4.17,5.25,5.04,5.4
11715204_x_at,8.19,8.47,7.83,6.92,8.44,6.38
11715205_x_at,3.44,2.87,3.1,3.84,4.37,4.32
11715206_x_at,3.44,2.87,3.1,3.84,4.37,4.32
11715207_at,10.43,10.44,9.62,9.96,8.66,10.05
11715208_s_at,6.56,6.81,7.6,6.64,7.17,7.77
11715209_s_at,10.15,9.55,9.44,10.48,10.38,10.61
11715210_s_at,5,4.72,4.79,5.48,5.32,5.37
11715211_s_at,4.6,3.94,4.05,4.6,4.53,3.99
11715212_x_at,8.02,7.68,7.66,8.24,8.6,8.44
11715213_s_at,6.13,5.89,6.09,7,6.72,7.17
11715214_at,6.16,5.75,5.79,6.85,6.86,7.84
11715215_s_at,5.23,4.97,5.06,5.85,5.78,5.83
11715216_s_at,4.7,3.91,3.97,5.27,4.35,4.5
11715217_s_at,6.1,5.84,5.7,6.69,6.69,6.53
11715218_s_at,8.11,7.98,6.17,5.74,6.72,6.11
11715219_s_at,12.61,12.26,11.43,10.64,10.28,10.91
11715220_s_at,4.9,6.82,5.76,5.67,5.49,5.06
11715221_x_at,7.65,8.83,9.28,9.48,9.54,8.47
11715222_at,3.4,3.67,3.14,3.61,3.63,4.82
11715223_s_at,5.33,5.34,5.11,5.6,6.07,6.83
11715224_s_at,6.72,6.5,6.42,7.23,7.5,6.97
11715225_s_at,3.59,3.23,3.3,4.51,2.48,3.24
11715226_s_at,6.06,6.22,5.81,7.05,6.9,6.8
11715227_s_at,7.33,7.23,7.46,8.67,8,8.37
11715228_s_at,4.39,3.98,4.2,5.06,5.24,5.51
11715229_s_at,5.8,5.39,5.56,6.75,6.47,6.73
11715230_s_at,9.4,7.62,6.46,7.5,7.97,8.6
11715231_x_at,9.9,9.61,8.81,9.36,8.23,9.03
11715232_x_at,9.86,9.72,9.05,9.61,8.9,9.69
11715233_s_at,6.6,7.24,6.56,7.8,7.91,6.64
11715234_s_at,5.78,5.79,5.76,7.03,7.09,7.11
11715235_x_at,9.19,8.99,8.46,8.98,7.29,7.76
11715236_s_at,4.44,5.45,4.08,5.94,6.57,5.87
11715237_s_at,12.23,12.58,12.38,12.5,9.59,12.01
11715238_x_at,11.61,11.99,11.69,12.05,10.01,11.11
11715239_x_at,7.36,7.19,9.43,10.08,9.31,10.37
11715240_at,4.4,3.58,4.12,4.91,3.85,4.98
11715241_s_at,9.52,9.82,10.1,11.27,11.37,11.92
11715242_s_at,3.86,3.86,3.33,6.81,5.38,5.64
11715243_x_at,8.44,8.36,8.54,9.66,9.4,9.78
11715244_x_at,6.83,6.65,6.82,8.11,8.23,8.43
11715245_s_at,5.84,5.91,6.14,6.24,6.77,6.55
11715246_x_at,8.31,8.21,8.3,9.54,9.41,9.74
11715247_s_at,7.52,8.24,7.66,7.84,7.21,7.23
11715248_s_at,2.93,3.02,2.91,2.9,3.61,3.55
11715249_s_at,2.76,2.39,2.56,3.23,2.6,3.1
11715250_s_at,3.34,3.11,2.76,3.75,3.34,3.37
11715251_at,6.13,5.01,5.08,5.53,4.89,5.38
11715252_at,4.11,3.66,4.56,4.04,3.83,3.83
11715253_s_at,6.48,6.39,6.72,7.26,7.71,8.03
11715254_s_at,4.12,3.67,3.97,4.73,4.08,4.67
11715255_s_at,2.82,3.64,5.02,3.61,3.47,4.96
11715256_at,3.24,3.08,3.21,4.03,3.4,4.09
11715257_x_at,3.46,2.98,3.23,4.03,3.38,4.15
11715258_s_at,7.54,7.94,8.62,9.71,10.04,10.7
11715259_s_at,5.13,4.25,4.51,6.11,5.34,5.66
11715260_at,7.74,6.79,7.04,7.35,7.05,7.08
11715261_s_at,6.89,6.56,6.74,7.95,7.26,9.01
11715262_at,5.7,5.02,5.18,5.84,5.6,5.77
11715263_at,4.46,4.22,4.53,5.57,5.38,6
11715264_s_at,7.86,7.51,7.58,8.64,8.55,8.52
11715265_at,7.3,6.79,8.49,5.63,7.52,4.86
11715266_s_at,4.44,4.32,4.37,5.43,4.79,5.25
11715267_s_at,5.17,3.77,3.69,4.24,4.25,4.04
11715268_s_at,7.45,7.09,6.97,8.09,8.18,8.15
11715269_x_at,6.81,6.85,6.8,7.78,7.48,7.38
11715270_s_at,5.3,5.76,6.03,5.97,7.18,7.45
11715271_s_at,7.82,7.4,7.77,8.91,9.19,9.28
11715272_s_at,2.37,2.4,2.44,2.93,2.83,2.67
11715273_at,6.21,6.02,5.77,6.69,10.34,6.82
11715274_x_at,5.9,5.72,5.71,6.55,10.21,6.82
11715275_s_at,2.35,1.98,1.97,2.37,2.15,2.31
11715276_s_at,10.46,10.07,9.16,10.52,10.53,9.04
11715277_s_at,10.34,9.91,8.98,10.36,10.35,8.79
11715278_s_at,10.41,10.05,9.15,10.54,10.47,9.04
11715279_x_at,5.94,6.27,6.38,7.46,6.99,7.26
11715280_s_at,6.04,5.75,5.72,6.59,7.13,6.43
11715281_at,6.54,6.2,7.03,6.97,6.61,7.46
11715282_s_at,7.78,8.2,7.74,8.58,8.22,8.74
11715283_at,4.54,4.49,4.49,5.49,5.13,5.28
11715284_x_at,7.25,8.71,8.5,9.86,10.17,9.76
11715285_at,6.79,6.57,6.97,8.31,7.36,7.05
11715286_x_at,7.63,7.07,7.51,8.54,7.62,7.37
11715287_at,9.4,10.39,10,8.34,7.98,8.41
11715288_s_at,5.2,4.94,5.04,6.17,5.37,6.06
11715289_s_at,7.77,5.73,6,6.61,7.05,6.88
11715290_s_at,5.77,5.66,5.82,6.44,6.41,6.77
11715291_s_at,4.17,4.08,4,4.79,4.66,5.4
11715292_at,2.88,2.88,3.04,2.88,2.75,4.28
11715293_s_at,8.04,8.23,7.11,4.88,4.9,6.06
11715294_s_at,2.53,2.15,2.29,2.19,2.31,2.77
11715295_s_at,6.13,5.83,5.83,7.06,7.05,7.05
11715296_s_at,4.83,4.39,4.63,5.88,5.31,4.93
11715297_at,5.13,5.24,4.97,5.27,5.64,6.03
11715298_x_at,4.94,5.01,4.69,5.85,6.3,6.15
11715299_s_at,4.72,4.63,4.31,5.49,4.99,5.1
11715300_s_at,2.28,2.12,1.93,2.54,2.33,2.08
11715301_s_at,10.53,10.2,9.58,8.4,10.07,6.38
11715302_s_at,5.56,5.12,5.21,6.25,5.74,6.07
11715303_s_at,6.94,6.83,7.11,8.37,8.93,8.21
11715304_s_at,6.47,7.03,6.66,7.15,9.16,7.48
11715305_s_at,3.81,6.08,3.93,3.43,3.76,3.53
