prob_id,control_1,control_2,control_3,case_1,case_2,case_3,logFC,p_value,t,FDR
11731706_at,10.48,10.44,10.54,6.75,6.84,6.84,-3.6766666666666667,9.983319445920853e-08,88.02898335677901,0.04656793986394692
11722575_a_at,9.2,9.31,9.18,7.39,7.32,7.34,-1.8799999999999981,2.0434765254342372e-06,41.3544864360214,0.023742258050082413
11727826_a_at,8.45,8.73,8.5,5.21,5.45,5.36,-3.2200000000000006,8.422723436786569e-06,28.994500876564118,0.03879397798388683
11716514_s_at,9.49,9.29,9.1,5.95,6.01,5.86,-3.3533333333333344,9.997302654810301e-06,27.77352880782389,0.0010348463482249075
11721512_a_at,8.32,7.94,8.25,5.04,5.01,4.89,-3.1899999999999995,1.4196025846455651e-05,25.43198806521332,0.04167154110618875
11726278_at,9.22,9.36,9.09,5.88,6.3,6.09,-3.133333333333333,2.6498441319100987e-05,21.73737263295538,0.04487731640784088
11715552_a_at,5.72,5.73,5.55,2.9,2.49,2.85,-2.9200000000000004,3.278994900084242e-05,20.601787017600785,0.0021624400085230246
11721346_a_at,10.18,10.07,9.8,7.23,7.45,7.49,-2.626666666666667,4.598312749325529e-05,18.91805474643338,0.013425301426776094
11727477_at,6.98,7.29,7.32,4.68,4.7,4.42,-2.5966666666666667,5.147713754289608e-05,18.386761011700592,0.024804556566343106
11725720_x_at,10.89,10.61,10.64,9.09,9.04,9.09,-1.6400000000000006,5.406974251767209e-05,18.160051374928784,0.017732351649480525
11723394_s_at,9.29,9.6,9.7,7.0,6.69,6.86,-2.679999999999999,6.162531191871481e-05,17.569836094885627,0.015099702354683065
11719094_x_at,9.36,9.44,9.29,7.02,7.25,6.78,-2.346666666666665,7.948215183463668e-05,16.474880477471988,0.01822160326494081
11717432_a_at,5.97,5.63,5.77,3.89,4.02,3.79,-1.8899999999999992,9.192703532730005e-05,15.879176152877639,0.004311451033792252
11715832_s_at,8.58,8.14,8.33,5.88,5.7,5.5,-2.656666666666667,9.37953978459552e-05,15.79844810960577,0.0005172289629740208
11718582_a_at,9.79,9.48,9.64,8.03,7.85,8.01,-1.673333333333333,9.440729669560501e-05,15.772444012528087,0.011101180145477459
11729305_a_at,8.17,8.55,8.55,5.5,4.94,5.34,-3.163333333333333,0.00011156227146402524,15.118827137385761,0.04246064142373217
11719343_x_at,8.89,9.22,8.74,6.25,6.51,6.17,-2.6400000000000015,0.00011259118987715558,15.083662226358307,0.022115390114302087
11716315_at,9.67,9.72,9.18,6.52,6.15,6.51,-3.13,0.00012007213360563648,14.839475730632797,0.0010231325522223132
11718483_s_at,10.05,10.1,9.78,7.59,7.42,7.86,-2.3533333333333326,0.00013102129954601236,14.51434129155164,0.005031342050203828
11722847_s_at,6.8,6.63,7.22,4.36,4.3,4.41,-2.5266666666666664,0.000143658926913059,14.178754842133989,0.009780437091358122
11716058_a_at,10.75,10.37,10.54,8.33,8.68,8.44,-2.0700000000000003,0.00016338916239076146,13.722290972401428,0.0005645327670538648
11715392_x_at,9.35,9.21,9.53,7.82,7.51,7.68,-1.693333333333336,0.00019381589924836052,13.138419242841582,0.00019218728959344877
11715189_s_at,11.14,11.49,11.29,9.4,9.12,8.96,-2.1466666666666665,0.00019546192327918858,13.110136285926153,4.289055200535429e-05
11715118_s_at,10.34,10.62,9.7,6.44,6.22,5.91,-4.03,0.00020896887918772734,12.888715637890705,2.052317980900435e-05
11723615_a_at,8.13,8.13,8.58,5.88,5.98,5.58,-2.4666666666666686,0.00021253427433203025,12.833227548956996,0.01371240803227082
11716581_a_at,9.39,8.92,8.92,6.18,6.56,6.6,-2.6300000000000026,0.00021708604674445793,12.764049635545348,0.0009428959654205751
11719561_s_at,10.01,10.87,10.88,5.84,5.33,6.23,-4.786666666666666,0.0002496769107514146,12.316315547260986,0.018148466209415962
11724108_s_at,8.92,9.0,8.28,5.97,6.03,5.89,-2.7700000000000005,0.0002791888450495818,11.969541219798188,0.020603266201645407
11717863_a_at,8.79,8.23,7.85,4.9,4.53,4.45,-3.663333333333333,0.00027962606195454484,11.964751082256303,0.002378276367782816
11716866_x_at,9.24,9.58,9.55,7.33,7.21,6.78,-2.3500000000000005,0.0002955910093696164,11.795962734855744,0.001301102507199033
11723400_a_at,9.52,9.69,9.93,8.14,7.84,7.84,-1.7733333333333325,0.00033629110635062276,11.412525715727815,0.031861244040656794
11721275_a_at,7.61,7.83,7.61,4.4,5.04,4.13,-3.16,0.0003494264530968028,11.300939809833373,0.027701858560852315
11726883_s_at,5.94,6.14,6.35,4.47,4.07,4.16,-1.9100000000000001,0.0003523812015277882,11.276556571832495,0.027222779329983265
